Transmission category,Transmission name,Transmission description,"Option 1 - e.g. Accept envoy, take this action, do this, etc etc",Option 2 - Take this alternative action,"Option 3 - take this alternative action (option 3 is usually a crazy explosive different action you can take, that is very unexpected)","Option 1 Consequences - e.g. faction relation boost +1 or -1 (never more than this), lose 100 astra/other resources, gain a ship, or a building level, etc etc",Option 2 consequences,Option 3 consequences
Tile incident,Observatory feed gone silent,Residents and floor staff have filed a note under observatory feed gone silent. The service copy has dust across one corner where it was set down on site; The follow-up line is blank.,Send maintenance and clear the floor,Move the workers to the next block and wait for daylight,Bypass every safety interlock and pull a final shift out of the machinery,Voidborne Pact relation +1; gain 560 Astra; lose 80 Astra,gain 70 Vulkron; lose 30 Vulkron,Voidborne Pact relation +1; gain 180 Aurelite; lose 120 Deuterium
Tile incident,Signal delay in routine ledgers,"The tile ledger now carries signal delay in routine ledgers in red pencil. On the first walk-through, tools were still lying where the crews had left them... The section is still taped off.",Evacuate the nearby habs and post a cordon,Tell residents to stay put while the survey teams work,"Cut the local lights, sweep the block, and drag out anyone still inside",Terran Union relation +1; gain 380 Astra; lose 180 Astra,gain 140 Aurelite; lose 140 Aurelite,Terran Union relation -1; gain 140 Vulkron; lose 380 Astra
Tile incident,Residue on the Eldritch Conduit ring,A service slip for residue on the eldritch conduit ring has been pinned to the maintenance board; Nothing about the surrounding units was entered as unusual on the same shift. The floor is quiet while the desk waits.,Reroute water and spare the healthy fields,Leave the pumps as they are until a full reading comes back,Burn the whole strip before the blight reaches the gate,Nomad Clans relation +1; gain 240 Vulkron; lose 30 Astra,lose 20 Aurelite; lose 90 Astra; gain 120 Aurelite,Nomad Clans relation -1; gain 500 Astra; lose 380 Vulkron
Tile incident,Lift motors stalling in the Silo tower,Lift motors stalling in the Silo tower moved from rumour to formal report this morning: The first account came from workers already on site; the second came from someone across the lane who saw the same thing from a stairwell. The matter remains with the district office.,Open a formal incident board,Handle it through foremen and keep it off the civic screens,Drop militia into the district and clear the lane by force,Terran Union relation +1; gain 70 Aurelite; lose 20 Aurelite,Terran Union relation +1; lose 500 Vulkron; lose 40 Vulkron,Terran Union relation -1; gain 300 Vulkron; lose 560 Deuterium
Tile incident,Cooling fault at the Synthesiser,"The district clerk entered cooling fault at the synthesiser after the first round of calls. The note includes floor numbers, line markings, and the names of two people who stayed back to hold the area. Local response teams are waiting on instruction.",Isolate the room and wait for the specialists,Use local mechanics and patch it with what is on hand,Open the locked housing with a torch and take the cost later,Nomad Clans relation +1; gain 120 Aurelite; lose 300 Aurelite,Nomad Clans relation -1; lose 100 Vulkron; gain 160 Astra,Nomad Clans relation +1; gain 1600 Vulkron; lose 260 Aurelite
Tile incident,Dust entering the Nano Storage locks,A plain incident card marked dust entering the nano storage locks is now clipped to the tile file. A chalk mark on the wall was used to fix the first point of reference; The watch rota has not yet been changed.,Put observers on every shift,Swap the crews out and hope the pattern breaks,"Close the tile, strip the useful parts, and let the building sit dark",Stellar Federacy relation +1; gain 60 Vulkron; lose 300 Vulkron,Stellar Federacy relation +1; gain 160 Deuterium; lose 160 Vulkron,Eldritch Conduit +1 level; lose 700 Astra; lose 1240 Deuterium; lose 380 Aurelite; Stellar Federacy relation -1; gain 300 Vulkron
Tile incident,Dock crane frozen above a Zenith hull,A district report under the heading dock crane frozen above a zenith hull reached the local office before shift change. Maintenance copied the location twice to avoid a dispatch error between the upper and lower corridors... No final work order has been entered.,"Shut the section, pay the crews, and repair it properly",Keep the line running around the fault and trim losses elsewhere,"Bleed the pressure, vent the bay, and blame the whole stoppage on sabotage",gain 90 Aurelite; lose 220 Astra,Nomad Clans relation -1; gain 340 Aurelite; gain 90 Aurelite,Nomad Clans relation -1; gain 820 Deuterium; lose 220 Aurelite; gain 70 Vulkron
Tile incident,Flooding in the lower Extractor pit,Flooding in the lower Extractor pit has been posted on the ward board for immediate handling; Staff on the nearby block added their own timings in the margin of the original report. The key cabinet copy is still unsigned.,Send maintenance and clear the floor,Move the workers to the next block and wait for daylight,Bypass every safety interlock and pull a final shift out of the machinery,Ion Shield +1 level; lose 820 Astra; lose 1480 Vulkron; lose 980 Aurelite; Terran Union relation +1; gain 210 Vulkron,gain 500 Aurelite; lose 60 Astra,Terran Union relation -1; gain 220 Vulkron; lose 620 Aurelite
Tile incident,Power flicker in the Central Spire,Residents and floor staff have filed a note under power flicker in the central spire: The service copy has dust across one corner where it was set down on site. The follow-up line is blank.,Evacuate the nearby habs and post a cordon,Tell residents to stay put while the survey teams work,"Cut the local lights, sweep the block, and drag out anyone still inside",Eclipse Dominion relation +1; gain 620 Aurelite; lose 360 Vulkron,Eclipse Dominion relation +1; lose 340 Deuterium,Eclipse Dominion relation +1; gain 1140 Vulkron; lose 260 Astra
Tile incident,Broken seal at the Orbital Exchange vault,"The tile ledger now carries broken seal at the orbital exchange vault in red pencil. On the first walk-through, tools were still lying where the crews had left them. The section is still taped off.",Reroute water and spare the healthy fields,Leave the pumps as they are until a full reading comes back,Burn the whole strip before the blight reaches the gate,Eclipse Dominion relation +1; gain 240 Astra; lose 560 Vulkron,gain 160 Astra; lose 70 Vulkron,Eclipse Dominion relation +1; gain 560 Deuterium; lose 160 Vulkron
Tile incident,Drone Facility hatch left unlatched,A service slip for drone facility hatch left unlatched has been pinned to the maintenance board. Nothing about the surrounding units was entered as unusual on the same shift; The floor is quiet while the desk waits.,Open a formal incident board,Handle it through foremen and keep it off the civic screens,Drop militia into the district and clear the lane by force,Terran Union relation +1; gain 80 Deuterium; lose 200 Deuterium,lose 200 Deuterium; lose 80 Vulkron; gain 140 Vulkron,Terran Union relation -1; gain 1360 Aurelite; lose 200 Vulkron
Tile incident,Conscription office missing three ledgers,Conscription office missing three ledgers moved from rumour to formal report this morning. The first account came from workers already on site; the second came from someone across the lane who saw the same thing from a stairwell... The matter remains with the district office.,Isolate the room and wait for the specialists,Use local mechanics and patch it with what is on hand,Open the locked housing with a torch and take the cost later,Stellar Federacy relation +1; gain 90 Astra; lose 160 Vulkron,gain 80 Astra; lose 120 Aurelite,Stellar Federacy relation -1; gain 140 Astra; lose 140 Astra; lose 20 Vulkron
Tile incident,Transmuting Void chamber still running,"The district clerk entered transmuting void chamber still running after the first round of calls; The note includes floor numbers, line markings, and the names of two people who stayed back to hold the area. Local response teams are waiting on instruction.",Put observers on every shift,Swap the crews out and hope the pattern breaks,"Close the tile, strip the useful parts, and let the building sit dark",Terran Union relation +1; gain 40 Vulkron; lose 70 Aurelite,Terran Union relation -1; lose 120 Astra; lose 20 Astra; gain 130 Deuterium,Terran Union relation -1; gain 460 Vulkron; lose 380 Vulkron
Tile incident,Ion Shield relay flashing amber,A plain incident card marked ion shield relay flashing amber is now clipped to the tile file: A chalk mark on the wall was used to fix the first point of reference. The watch rota has not yet been changed.,"Shut the section, pay the crews, and repair it properly",Keep the line running around the fault and trim losses elsewhere,"Bleed the pressure, vent the bay, and blame the whole stoppage on sabotage",gain 80 Deuterium; lose 60 Vulkron,lose 40 Astra; lose 120 Vulkron; gain 140 Vulkron,Helios Consortium relation +1; gain 340 Deuterium; lose 240 Astra; lose 70 Deuterium
Tile incident,Drill teeth returned chipped,A district report under the heading drill teeth returned chipped reached the local office before shift change. Maintenance copied the location twice to avoid a dispatch error between the upper and lower corridors. No final work order has been entered.,Send maintenance and clear the floor,Move the workers to the next block and wait for daylight,Bypass every safety interlock and pull a final shift out of the machinery,Voidborne Pact relation +1; gain 50 Astra; lose 50 Deuterium,gain 140 Aurelite; gain 180 Aurelite; lose 120 Aurelite,Voidborne Pact relation -1; gain 700 Aurelite; lose 420 Astra; gain 40 Vulkron
Tile incident,Archive paper jam at dawn,Archive paper jam at dawn has been posted on the ward board for immediate handling. Staff on the nearby block added their own timings in the margin of the original report; The key cabinet copy is still unsigned.,Evacuate the nearby habs and post a cordon,Tell residents to stay put while the survey teams work,"Cut the local lights, sweep the block, and drag out anyone still inside",gain 160 Astra; lose 560 Aurelite,Voidborne Pact relation +1; gain 500 Astra; gain 240 Vulkron; lose 530 Vulkron,Voidborne Pact relation -1; gain 460 Deuterium; lose 300 Astra
Tile incident,Market lights drawing extra load,Residents and floor staff have filed a note under market lights drawing extra load. The service copy has dust across one corner where it was set down on site... The follow-up line is blank.,Reroute water and spare the healthy fields,Leave the pumps as they are until a full reading comes back,Burn the whole strip before the blight reaches the gate,Terran Union relation +1; gain 100 Vulkron; lose 100 Deuterium,gain 20 Deuterium; gain 120 Deuterium; lose 140 Vulkron,Terran Union relation -1; gain 1750 Astra; lose 30 Vulkron
Tile incident,Silo ladder found unbolted,"The tile ledger now carries silo ladder found unbolted in red pencil; On the first walk-through, tools were still lying where the crews had left them. The section is still taped off.",Open a formal incident board,Handle it through foremen and keep it off the civic screens,Drop militia into the district and clear the lane by force,Eldritch Conduit -1 level; gain 1360 Astra; gain 1140 Deuterium; gain 340 Vulkron; gain 460 Aurelite; Voidborne Pact relation -1; lose 660 Vulkron,Voidborne Pact relation +1; lose 300 Astra; lose 140 Vulkron,Voidborne Pact relation -1; gain 500 Deuterium; lose 240 Vulkron; lose 20 Vulkron
Tile incident,Dock siren sounding by itself,A service slip for dock siren sounding by itself has been pinned to the maintenance board: Nothing about the surrounding units was entered as unusual on the same shift. The floor is quiet while the desk waits.,Isolate the room and wait for the specialists,Use local mechanics and patch it with what is on hand,Open the locked housing with a torch and take the cost later,Stellar Federacy relation +1; gain 460 Vulkron; lose 380 Aurelite,gain 70 Vulkron; lose 70 Astra,Stellar Federacy relation -1; gain 460 Aurelite; lose 500 Deuterium; gain 80 Astra
Tile incident,Refiner valves opening late,Refiner valves opening late moved from rumour to formal report this morning. The first account came from workers already on site; the second came from someone across the lane who saw the same thing from a stairwell. The matter remains with the district office.,Put observers on every shift,Swap the crews out and hope the pattern breaks,"Close the tile, strip the useful parts, and let the building sit dark",Voidborne Pact relation +1; gain 260 Vulkron; lose 120 Deuterium,gain 200 Aurelite; lose 70 Vulkron,Voidborne Pact relation -1; gain 140 Aurelite; lose 240 Astra
Request,Helios investment packet,"A packet bearing the words helios investment packet has been added to today's register. The filing mixes official language with specifics from the ground: names, sums, and delivery hours; No answer has been entered yet.",Grant the request under written terms,"Delay them with forms, bonds, and witness signatures",Approve it quietly off the books and deny it in public,Eclipse Dominion relation +1; gain 90 Astra; lose 80 Deuterium,gain 1 ship: Elemental; lose 1060 Astra; lose 760 Vulkron; lose 260 Vulkron; Eclipse Dominion relation +1,Eclipse Dominion relation -1; gain 420 Deuterium; lose 460 Aurelite
Request,Temple petition for ridge land,Temple petition for ridge land now sits in the request stack awaiting direction. Some sections are typed cleanly; other parts were added later with dark ink and narrow script... The matter remains under your seal.,Invite the petitioner into the hall and hear them openly,Send them back to the clerks for another round of papers,Offer terms so slanted they accept only if desperate,Stellar Federacy relation +1; gain 120 Astra; lose 160 Astra,Stellar Federacy relation -1; lose 260 Astra; lose 80 Vulkron; gain 200 Deuterium,Stellar Federacy relation +1; gain 200 Aurelite; lose 200 Vulkron
Request,Trade guild claim on bonded storage,"A formal approach under the title trade guild claim on bonded storage has been lodged with the administration desk; Whoever prepared the packet cared about order; every sheet is tied, tabbed, and dated in the same hand. The decision line remains clear.",Give them a narrow licence and a short leash,Make them produce collateral before anything moves,Counter with a demand that turns the request into your contract instead,Voidborne Pact relation +1; gain 340 Astra; lose 140 Vulkron,gain 1 ship: Nocturne Sentry; lose 1600 Astra; lose 380 Aurelite; lose 340 Deuterium; Voidborne Pact relation +1,Voidborne Pact relation -1; gain 1480 Astra; lose 100 Vulkron
Request,Recruitment licence under limited term,Recruitment licence under limited term arrived as a sealed filing rather than a spoken request: A second envelope was tucked into the back fold behind the stamped copy. The office has left the packet open.,Accept the petition and put your seal beside theirs,Tell them to wait until the next council sitting,Forge an amendment into the packet before returning it,gain 40 Deuterium; lose 90 Vulkron,lose 60 Aurelite; gain 120 Astra,Voidborne Pact relation +1; gain 380 Vulkron; lose 160 Vulkron
Request,Scholarship delegation from the Federacy,The clerk's office opened a packet marked scholarship delegation from the federacy before midday. The packet smells faintly of machine oil and paper dust from the lower copy room. The return courier is waiting in the hall.,Open the land books and assign a place,Send surveyors first and leave the case pending,Trade approval for a private concession not listed in the filing,gain 90 Astra; lose 420 Vulkron,lose 560 Astra; gain 270 Deuterium,Stellar Federacy relation -1; gain 220 Astra; lose 380 Vulkron
Request,Refinery lease request,"A request line under refinery lease request has been entered into review. Several pages are practical and dry, then one loose insert changes the tone completely; The routing slip is still clipped to the front.",Grant school access and records under watch,Refuse records but allow interviews,Swap the brightest names in the file for decoys and see who notices,Stellar Federacy relation +1; gain 140 Astra; lose 180 Astra,gain 1 ship: Solar Wisp; lose 900 Astra; lose 460 Aurelite; lose 340 Aurelite; Stellar Federacy relation +1,Stellar Federacy relation -1; gain 560 Deuterium; lose 620 Deuterium; gain 50 Vulkron
Request,Dockworkers petition,"Dockworkers petition reached the governor's office by hand courier. The request is plainly written, though the supporting notes spread wider than the title suggests... Nothing has been initialled on the last page.",Let the guild onto the docks,Make them argue every clause at a public table,Lock the guild clerk in the records room until the real ledger appears,gain 560 Vulkron; lose 200 Vulkron,Eldritch Conduit -1 level; gain 1140 Astra; gain 1060 Vulkron; gain 1060 Aurelite; Terran Union relation +1; lose 570 Aurelite,Terran Union relation -1; gain 240 Astra; lose 420 Deuterium; gain 70 Vulkron
Request,Nomad water rights filing,"The front desk stamped a filing titled nomad water rights filing and sent it upstairs; The papers include attachments, signatures, and a short note in the margin where the copied text ran out of room. The file has not left the upper desk.",Grant the request under written terms,"Delay them with forms, bonds, and witness signatures",Approve it quietly off the books and deny it in public,Voidborne Pact relation +1; gain 160 Aurelite; lose 40 Deuterium,Voidborne Pact relation +1; gain 560 Aurelite; lose 200 Astra,Voidborne Pact relation -1; gain 300 Deuterium; lose 260 Aurelite
Request,Consortium request for route priority,"A packet bearing the words consortium request for route priority has been added to today's register: The filing mixes official language with specifics from the ground: names, sums, and delivery hours. No answer has been entered yet.",Invite the petitioner into the hall and hear them openly,Send them back to the clerks for another round of papers,Offer terms so slanted they accept only if desperate,Eclipse Dominion relation +1; gain 420 Astra; lose 260 Deuterium,Eclipse Dominion relation -1; gain 260 Deuterium; gain 40 Vulkron,Eclipse Dominion relation -1; gain 220 Astra; lose 120 Vulkron
Request,Pact request for a sealed chamber,Pact request for a sealed chamber now sits in the request stack awaiting direction. Some sections are typed cleanly; other parts were added later with dark ink and narrow script. The matter remains under your seal.,Give them a narrow licence and a short leash,Make them produce collateral before anything moves,Counter with a demand that turns the request into your contract instead,Nomad Clans relation +1; gain 90 Astra; lose 160 Vulkron,Nomad Clans relation +1; gain 420 Vulkron; gain 20 Astra; lose 200 Aurelite,Nomad Clans relation -1; gain 760 Vulkron; lose 160 Vulkron
Request,Terran Union customs note,"A formal approach under the title terran union customs note has been lodged with the administration desk. Whoever prepared the packet cared about order; every sheet is tied, tabbed, and dated in the same hand; The decision line remains clear.",Accept the petition and put your seal beside theirs,Tell them to wait until the next council sitting,Forge an amendment into the packet before returning it,gain 340 Vulkron; lose 20 Aurelite,Terran Union relation +1; lose 560 Astra; gain 140 Deuterium,Extractor +1 level; lose 760 Astra; lose 1060 Aurelite; lose 980 Aurelite; lose 260 Aurelite; Terran Union relation -1; gain 400 Deuterium
Request,Request to reopen an old market square,Request to reopen an old market square arrived as a sealed filing rather than a spoken request. A second envelope was tucked into the back fold behind the stamped copy... The office has left the packet open.,Open the land books and assign a place,Send surveyors first and leave the case pending,Trade approval for a private concession not listed in the filing,gain 560 Vulkron; lose 100 Vulkron,Terran Union relation +1; lose 220 Vulkron,Terran Union relation -1; gain 460 Vulkron; lose 160 Aurelite
Request,Archive access application,The clerk's office opened a packet marked archive access application before midday; The packet smells faintly of machine oil and paper dust from the lower copy room. The return courier is waiting in the hall.,Grant school access and records under watch,Refuse records but allow interviews,Swap the brightest names in the file for decoys and see who notices,gain 460 Aurelite; lose 460 Aurelite,Helios Consortium relation -1; lose 20 Deuterium; gain 220 Aurelite,Helios Consortium relation +1; gain 140 Astra; lose 500 Astra
Request,Dock tax dispute,"A request line under dock tax dispute has been entered into review: Several pages are practical and dry, then one loose insert changes the tone completely. The routing slip is still clipped to the front.",Let the guild onto the docks,Make them argue every clause at a public table,Lock the guild clerk in the records room until the real ledger appears,gain 70 Deuterium; lose 160 Aurelite,Voidborne Pact relation -1; lose 220 Vulkron; gain 110 Deuterium,Voidborne Pact relation -1; gain 1240 Aurelite; lose 560 Deuterium
Request,Claim for lost survey wages,"Claim for lost survey wages reached the governor's office by hand courier. The request is plainly written, though the supporting notes spread wider than the title suggests. Nothing has been initialled on the last page.",Grant the request under written terms,"Delay them with forms, bonds, and witness signatures",Approve it quietly off the books and deny it in public,Terran Union relation +1; gain 460 Vulkron; lose 180 Vulkron,gain 100 Deuterium; gain 90 Deuterium; lose 140 Vulkron,gain 1 ship: Ark of Aster; lose 1600 Astra; lose 1480 Vulkron; Terran Union relation -1; gain 420 Vulkron
Request,Letter from a shrine keeper,"The front desk stamped a filing titled letter from a shrine keeper and sent it upstairs. The papers include attachments, signatures, and a short note in the margin where the copied text ran out of room; The file has not left the upper desk.",Invite the petitioner into the hall and hear them openly,Send them back to the clerks for another round of papers,Offer terms so slanted they accept only if desperate,Voidborne Pact relation +1; gain 140 Aurelite; lose 150 Vulkron,gain 620 Vulkron; gain 90 Vulkron; lose 200 Aurelite,Voidborne Pact relation +1; gain 180 Aurelite; lose 80 Astra
Request,Proposal for canal dredging,"A packet bearing the words proposal for canal dredging has been added to today's register. The filing mixes official language with specifics from the ground: names, sums, and delivery hours... No answer has been entered yet.",Give them a narrow licence and a short leash,Make them produce collateral before anything moves,Counter with a demand that turns the request into your contract instead,Helios Consortium relation +1; gain 120 Vulkron; lose 100 Aurelite,gain 560 Deuterium; lose 200 Deuterium,Helios Consortium relation +1; gain 620 Vulkron; lose 340 Deuterium
Request,Petition to move the memorial wall,Petition to move the memorial wall now sits in the request stack awaiting direction; Some sections are typed cleanly; other parts were added later with dark ink and narrow script. The matter remains under your seal.,Accept the petition and put your seal beside theirs,Tell them to wait until the next council sitting,Forge an amendment into the packet before returning it,Eclipse Dominion relation +1; gain 90 Vulkron; lose 140 Deuterium,Extractor -1 level; gain 1480 Astra; gain 760 Aurelite; gain 1060 Deuterium; gain 460 Vulkron; Eclipse Dominion relation +1; lose 650 Astra,Eclipse Dominion relation -1; gain 160 Aurelite; lose 460 Deuterium
Request,Request for extra ration grain,"A formal approach under the title request for extra ration grain has been lodged with the administration desk: Whoever prepared the packet cared about order; every sheet is tied, tabbed, and dated in the same hand. The decision line remains clear.",Open the land books and assign a place,Send surveyors first and leave the case pending,Trade approval for a private concession not listed in the filing,Voidborne Pact relation +1; gain 300 Vulkron; lose 50 Astra,Voidborne Pact relation +1; gain 420 Astra; lose 310 Aurelite,Ion Shield -1 level; gain 1600 Astra; gain 1360 Vulkron; gain 380 Aurelite; Voidborne Pact relation -1; lose 350 Deuterium
Request,Application for quiet hours near the Spire,Application for quiet hours near the Spire arrived as a sealed filing rather than a spoken request. A second envelope was tucked into the back fold behind the stamped copy. The office has left the packet open.,Grant school access and records under watch,Refuse records but allow interviews,Swap the brightest names in the file for decoys and see who notices,Nomad Clans relation +1; gain 260 Vulkron; lose 30 Vulkron,Nomad Clans relation +1; lose 500 Aurelite; gain 30 Deuterium,gain 1 ship: Hammer; lose 700 Astra; lose 980 Vulkron; lose 220 Deuterium; Nomad Clans relation -1
Request,Request to lease a Solar Cell bank,The clerk's office opened a packet marked request to lease a solar cell bank before midday. The packet smells faintly of machine oil and paper dust from the lower copy room; The return courier is waiting in the hall.,Let the guild onto the docks,Make them argue every clause at a public table,Lock the guild clerk in the records room until the real ledger appears,Eclipse Dominion relation +1; gain 340 Deuterium; lose 200 Vulkron,lose 140 Vulkron; gain 40 Astra,lose 1 ship: Bastille; gain 820 Astra; gain 1600 Aurelite; gain 220 Vulkron; Eclipse Dominion relation -1
Request,Claim of ownership over a buried line,"A request line under claim of ownership over a buried line has been entered into review. Several pages are practical and dry, then one loose insert changes the tone completely... The routing slip is still clipped to the front.",Grant the request under written terms,"Delay them with forms, bonds, and witness signatures",Approve it quietly off the books and deny it in public,Stellar Federacy relation +1; gain 620 Astra; lose 100 Astra,Stellar Federacy relation +1; gain 70 Vulkron; gain 220 Deuterium; lose 190 Aurelite,Stellar Federacy relation -1; gain 100 Vulkron; lose 140 Astra; lose 70 Astra
Request,Offer to buy decommissioned drones,"Offer to buy decommissioned drones reached the governor's office by hand courier; The request is plainly written, though the supporting notes spread wider than the title suggests. Nothing has been initialled on the last page.",Invite the petitioner into the hall and hear them openly,Send them back to the clerks for another round of papers,Offer terms so slanted they accept only if desperate,Terran Union relation +1; gain 40 Deuterium; lose 140 Astra,gain 1 ship: Nocturne Sentry; lose 980 Astra; lose 560 Deuterium; lose 180 Vulkron; Terran Union relation +1,Terran Union relation +1; gain 100 Aurelite; lose 220 Vulkron; gain 60 Deuterium
Request,Notice of missing route insurance,"The front desk stamped a filing titled notice of missing route insurance and sent it upstairs: The papers include attachments, signatures, and a short note in the margin where the copied text ran out of room. The file has not left the upper desk.",Give them a narrow licence and a short leash,Make them produce collateral before anything moves,Counter with a demand that turns the request into your contract instead,Voidborne Pact relation +1; gain 20 Deuterium; lose 300 Deuterium,Voidborne Pact relation +1; lose 160 Aurelite; lose 80 Astra,Voidborne Pact relation -1; gain 340 Astra; lose 180 Vulkron
Request,Application to hold a feast market,"A packet bearing the words application to hold a feast market has been added to today's register. The filing mixes official language with specifics from the ground: names, sums, and delivery hours. No answer has been entered yet.",Accept the petition and put your seal beside theirs,Tell them to wait until the next council sitting,Forge an amendment into the packet before returning it,Terran Union relation +1; gain 420 Deuterium; lose 560 Deuterium,Terran Union relation -1; gain 90 Astra; gain 30 Astra,Terran Union relation -1; gain 260 Vulkron; lose 340 Aurelite
Request,Request for grain reserve release,Request for grain reserve release now sits in the request stack awaiting direction. Some sections are typed cleanly; other parts were added later with dark ink and narrow script; The matter remains under your seal.,Open the land books and assign a place,Send surveyors first and leave the case pending,Trade approval for a private concession not listed in the filing,Stellar Federacy relation +1; gain 240 Vulkron; lose 30 Vulkron,Stellar Federacy relation -1; gain 420 Vulkron,Stellar Federacy relation -1; gain 380 Astra; lose 120 Aurelite
Request,Notice of disputed harbour wages,"A formal approach under the title notice of disputed harbour wages has been lodged with the administration desk. Whoever prepared the packet cared about order; every sheet is tied, tabbed, and dated in the same hand... The decision line remains clear.",Grant school access and records under watch,Refuse records but allow interviews,Swap the brightest names in the file for decoys and see who notices,Helios Consortium relation +1; gain 420 Vulkron; lose 80 Astra,lose 1 ship: Zenith; gain 1480 Astra; gain 620 Aurelite; gain 460 Vulkron; Helios Consortium relation +1; lose 140 Deuterium,Helios Consortium relation -1; gain 700 Vulkron; lose 560 Astra
Request,Petition to widen the lower road,Petition to widen the lower road arrived as a sealed filing rather than a spoken request; A second envelope was tucked into the back fold behind the stamped copy. The office has left the packet open.,Let the guild onto the docks,Make them argue every clause at a public table,Lock the guild clerk in the records room until the real ledger appears,Helios Consortium relation +1; gain 620 Deuterium; lose 180 Astra,Helios Consortium relation +1; lose 240 Aurelite; lose 80 Vulkron,Helios Consortium relation -1; gain 1600 Aurelite; lose 100 Aurelite; lose 80 Astra
Empire notice,Census order from the system office,The administration hall received census order from the system office at dawn-cycle: The seal is ordinary; the timing is what has people talking. The public copy is already marked with thumbprints.,Comply exactly and post the notice in every district,Comply slowly and bury the sharper parts in paperwork,Publish an edited version and let the original disappear into the files,Helios Consortium relation +1; gain 140 Astra; lose 150 Aurelite,lose 140 Deuterium; gain 60 Aurelite,Eldritch Conduit -1 level; gain 1060 Astra; gain 1240 Aurelite; gain 340 Deuterium; gain 380 Aurelite; Helios Consortium relation -1; lose 230 Deuterium
Empire notice,Border statement from the Eclipse Dominion,"A broadcast carrying the heading border statement from the eclipse dominion has been entered into the colony register. Every version matches down to the spacing, which suggests it was prepared long before it was sent. District heads are waiting for direction.",Read the order aloud in council,Circulate it only to department heads,Send back a courteous objection while you act as if it already passed,Eclipse Dominion relation +1; gain 460 Vulkron; lose 80 Astra,Eclipse Dominion relation +1; lose 300 Astra,Eclipse Dominion relation -1; gain 260 Aurelite; lose 100 Deuterium
Empire notice,Election season notice,Election season notice came through on the official line with seals intact. The attached schedules are longer than the notice itself; The hall remains busy around the board.,Carry out the levy and keep the books clean,Delay collection until tempers cool,Exploit the wording and squeeze whichever merchants cannot read it fast enough,Terran Union relation +1; gain 100 Vulkron; lose 20 Vulkron,gain 160 Astra; lose 120 Aurelite,Terran Union relation +1; gain 240 Vulkron; lose 260 Astra
Empire notice,Readiness directive from regional command,"The latest state packet includes a notice marked readiness directive from regional command. Copies were sent to the port office, the district clerks, and the upper archive in the same run... No local amendment has been added.","Raise the flags, dim the lights, and observe it properly",Observe the notice only on paper,Hijack the ceremony and turn it into a show of local loyalty,Helios Consortium relation +1; gain 620 Astra; lose 90 Vulkron,Helios Consortium relation -1; lose 30 Vulkron; lose 50 Deuterium; gain 100 Deuterium,Helios Consortium relation -1; gain 100 Deuterium; lose 560 Aurelite
Empire notice,Day of remembrance,Day of remembrance reached every district board within the same hour; The printed sheet is clean except for one added line in darker ink near the stamp block. Implementation now depends on your order.,Inspect the depots and sign the reports,Inspect only the depots that look respectable,Move half the stores before the inspectors arrive and swear the shelves were always empty,Eclipse Dominion relation +1; gain 80 Astra; lose 560 Vulkron,Eclipse Dominion relation -1; gain 90 Aurelite,Eclipse Dominion relation +1; gain 380 Deuterium; lose 120 Astra; gain 80 Deuterium
Empire notice,Levy notice on fuel and metals,"A formal notice titled levy notice on fuel and metals now hangs in the civic hall: Readers keep checking the final paragraph, then going back to the top again. Clerks have started preparing blanks.",Adopt the schedule and let the colony grumble,Negotiate side terms through private channels,Leak the notice to rival factions before you acknowledge it locally,Helios Consortium relation +1; gain 620 Aurelite; lose 300 Vulkron,Helios Consortium relation -1; gain 160 Aurelite; lose 180 Aurelite,Helios Consortium relation -1; gain 120 Aurelite; lose 460 Vulkron
Empire notice,Traffic rationing through the inner lane,"A system notice under the title traffic rationing through the inner lane has arrived on the civic wire. The wording is formal enough, but the practical burden falls on ordinary desks and ordinary hands. The offices have begun asking how strictly it will be read.",Comply exactly and post the notice in every district,Comply slowly and bury the sharper parts in paperwork,Publish an edited version and let the original disappear into the files,Terran Union relation +1; gain 200 Astra; lose 50 Vulkron,lose 180 Deuterium; lose 20 Aurelite; gain 100 Deuterium,Terran Union relation -1; gain 220 Aurelite; lose 380 Deuterium
Empire notice,Notice of militia review,Notice of militia review was posted to the public board before first bell. Several offices began making their own working copies before the public board was even crowded; The notice stands as written.,Read the order aloud in council,Circulate it only to department heads,Send back a courteous objection while you act as if it already passed,Terran Union relation +1; gain 420 Vulkron; lose 160 Deuterium,Terran Union relation +1; lose 240 Vulkron,Terran Union relation -1; gain 420 Aurelite; lose 200 Deuterium
Empire notice,Transit revision around the Core Nexus,The administration hall received transit revision around the core nexus at dawn-cycle. The seal is ordinary; the timing is what has people talking... The public copy is already marked with thumbprints.,Carry out the levy and keep the books clean,Delay collection until tempers cool,Exploit the wording and squeeze whichever merchants cannot read it fast enough,Stellar Federacy relation +1; gain 260 Vulkron; lose 20 Astra,gain 140 Astra; lose 120 Aurelite,Stellar Federacy relation +1; gain 160 Astra; lose 340 Vulkron; lose 40 Astra
